,LAU-1 code 1,Municipality,Administrative Center,Total Area (km²),Population (2012-01-01),Region
0,101,Copenhagen,Copenhagen,86.6,549050,Capital
1,751,Aarhus,Aarhus,467.8,314545,Central
2,851,Aalborg,Aalborg,1137.2,201142,North
3,461,Odense,Odense,305.7,191610,South
4,561,Esbjerg,Esbjerg,794.7,115112,South
5,630,Vejle,Vejle,1058.8,108021,South
6,147,Frederiksberg,Frederiksberg,8.1,100215,Capital
7,730,Randers,Randers,747.6,95756,Central
8,791,Viborg,Viborg,1408.7,93819,Central
9,621,Kolding,Kolding,607.1,89412,South
10,740,Silkeborg,Silkeborg,850.5,89328,Central
11,657,Herning,Herning,1321.4,86348,Central
12,615,Horsens,Horsens,519.8,83598,Central
13,265,Roskilde,Roskilde,211.9,83137,Zealand
14,370,Næstved,Næstved,676.3,81012,Zealand
15,330,Slagelse,Slagelse,567.9,77310,Zealand
16,540,Sønderborg,Sønderborg,496.8,76094,South
17,157,Gentofte,Charlottenlund,25.6,72814,Capital
18,316,Holbæk,Holbæk,577.3,69415,Zealand
19,860,Hjørring,Hjørring,926.2,66178,North
20,159,Gladsaxe,Buddinge,24.9,65303,Capital
21,376,Guldborgsund,Nykøbing Falster,899.7,61913,Zealand
22,217,Helsingør,Helsingør,118.9,61493,Capital
23,813,Frederikshavn,Frederikshavn,650.3,61158,North
24,580,Aabenraa,Aabenraa,940.7,59600,South
25,479,Svendborg,Svendborg,415.5,58551,South
26,746,Skanderborg,Skanderborg,416.7,58008,Central
27,760,Ringkøbing-Skjern,Ringkøbing and Skjern,1469.6,57892,Central
28,259,Køge,Køge,256.5,57307,Zealand
29,661,Holstebro,Holstebro,793.0,57153,Central
30,510,Haderslev,Haderslev,815.9,56188,South
31,230,Rudersdal,Holte,73.4,54630,Capital
32,173,Lyngby-Taarbæk,Kongens Lyngby,38.8,53251,Capital
33,430,Faaborg-Midtfyn,Ringe,633.7,51635,South
34,167,Hvidovre,Hvidovre,23.0,50600,Capital
35,573,Varde,Varde,1240.0,50193,South
36,607,Fredericia,Fredericia,133.6,50193,South
37,326,Kalundborg,Kalundborg,575.2,48632,Zealand
38,219,Hillerød,Hillerød,214.9,48203,Capital
39,169,Høje-Taastrup,Taastrup,78.4,48081,Capital
40,151,Ballerup,Ballerup,33.8,47994,Capital
41,253,Greve,Greve Strand,60.4,47942,Zealand
42,779,Skive,Skive,683.3,47620,Central
43,710,Favrskov,"Hadsten, Hinnerup, Hammel and Hvorslev",540.3,47117,Central
44,766,Hedensted,Hedensted,551.3,46029,Central
45,390,Vordingborg,Vordingborg,619.5,45804,Zealand
46,360,Lolland,Maribo,881.9,45241,Zealand
47,787,Thisted,Thisted,1068.6,44908,North
48,250,Frederikssund,Frederikssund,247.0,44345,Capital
49,575,Vejen,Vejen,813.5,42785,South
50,846,Mariagerfjord,Hobro and Hadsund,718.2,42429,North
51,240,Egedal,Ølstykke,125.8,41821,Capital
52,706,Syddjurs,Rønde,689.8,41815,Central
53,420,Assens,Assens,511.3,41443,South
54,400,Bornholm,Rønne,588.1,41303,Capital
55,185,Tårnby,Tårnby,66.0,41151,Capital
56,756,Ikast-Brande,Ikast,733.4,40658,Central
57,270,Gribskov,Helsinge,279.5,40603,Capital
58,210,Fredensborg,Kokkedal,112.1,39565,Capital
59,550,Tønder,Tønder,1281.8,39083,South
60,849,Jammerbugt,Aabybro,863.9,38611,North
61,190,Furesø,Værløse,56.8,38243,Capital
62,707,Norddjurs,Grenaa,720.9,37876,Central
63,410,Middelfart,Middelfart,298.8,37612,South
64,820,Vesthimmerland,Aars,769.9,37534,North
65,175,Rødovre,Rødovre,12.1,36883,Capital
66,810,Brønderslev,Brønderslev,633.0,35754,North
67,320,Faxe,Haslev,405.0,35110,Zealand
68,153,Brøndby,Brøndbyvester,21.0,34084,Capital
69,329,Ringsted,Ringsted,294.6,33153,Zealand
70,306,Odsherred,Højby,354.0,32640,Zealand
71,450,Nyborg,Nyborg,276.7,31486,South
72,260,Halsnæs,Frederiksværk,121.8,30980,Capital
73,340,Sorø,Sorø,308.4,29393,Zealand
74,480,Nordfyn,Bogense,452.3,29330,South
75,840,Rebild,Støvring,621.3,28911,North
76,165,Albertslund,Albertslund,23.2,27864,Capital
77,350,Lejre,Hvalsø,238.9,26887,Zealand
78,163,Herlev,Herlev,12.1,26608,Capital
79,530,Billund,Grindsted,540.3,26220,South
80,223,Hørsholm,Hørsholm,31.3,24365,Capital
81,201,Allerød,Lillerød,67.5,24043,Capital
82,440,Kerteminde,Kerteminde,205.8,23793,South
83,671,Struer,Struer,246.2,22098,Central
84,336,Stevns,Store Heddinge,250.2,21855,Zealand
85,727,Odder,Odder,223.6,21749,Central
86,161,Glostrup,Glostrup,13.3,21650,Capital
87,773,Morsø,Nykøbing Mors,366.5,21474,North
88,665,Lemvig,Lemvig,502.8,21384,Central
89,269,Solrød,Solrød Strand,40.1,21156,Zealand
90,183,Ishøj,Ishøj,26.4,21087,Capital
91,187,Vallensbæk,Vallensbæk,9.5,14565,Capital
92,155,Dragør,Dragør and Store Magleby,18.3,13692,Capital
93,482,Langeland,Rudkøbing,288.8,13094,South
94,492,Ærø,Marstal,90.1,6636,South
95,741,Samsø,Tranebjerg,113.5,3889,Central
96,563,Fanø,Nordby,54.6,3251,South
97,825,Læsø,Byrum,118.9,1897,North
